CONGLETON ROYCE HARRIERS,100,07:38,08:12,09:06,09:16,09:34,10:46,11:01,12:02,13:05,13:51,14:49,15:21,07:43
TEACHERS PETS,89,07:28,08:01,08:51,09:02,09:20,10:30,10:46,12:10,13:15,13:58,14:56,15:34,08:06
WHERE'S THE BBQ,20,06:18,06:55,07:53,08:04,08:23,09:38,09:58,11:06,12:15,13:00,14:02,14:42,08:24
WCP AR,53,06:52,07:33,08:35,08:48,09:12,10:53,11:05,12:28,13:50,14:50,16:01,16:39,09:47
HOLIDAY IN CROWDEN,92,07:30,08:15,09:21,09:33,09:58,11:20,11:42,12:54,14:20,15:24,16:35,17:20,09:50
TOO FAR FOR A PUB CRAWL,72,07:10,07:51,08:53,09:05,09:28,11:00,11:24,12:36,14:03,15:09,16:18,17:04,09:54
WHITE PEAK WOBBLERS,86,07:24,08:07,09:17,09:31,09:56,11:29,11:52,13:12,14:40,15:40,16:58,17:43,10:19
ENDURANCE ESU A,96,07:34,08:17,09:25,09:38,10:02,11:32,11:54,13:14,14:42,15:43,17:06,17:55,10:21
DERBY MOUNTAIN RESCUE TEAM MARS,49,06:48,07:38,08:46,08:59,09:23,10:58,11:21,12:45,14:16,15:13,16:26,17:12,10:24
QUEST XXXB,90,07:28,08:16,09:27,09:40,10:06,11:37,11:59,13:15,14:45,15:48,17:10,18:02,10:34
LINCOLN BOUNDERS,95,07:34,08:17,09:34,09:47,10:11,11:45,12:05,13:22,14:52,15:59,17:19,18:13,10:39
NOBODY INN,26,06:24,07:07,08:18,08:33,09:01,10:45,11:12,12:40,14:13,15:15,16:30,17:17,10:53
DAMBUSTERS,44,06:42,07:32,08:45,08:59,09:28,11:03,11:24,12:52,14:28,15:32,16:53,17:43,11:01
GREY HARES,87,07:26,08:11,09:24,09:38,10:08,11:53,12:13,13:41,15:18,16:28,17:52,18:37,11:11
THE PINK MUGS,41,06:40,07:26,08:38,08:54,09:20,11:08,11:31,13:00,14:42,15:48,17:17,18:15,11:35
THE FANTASTIC TRIO,60,06:58,07:48,09:05,09:18,09:48,11:27,11:57,13:20,15:06,16:22,17:53,18:46,11:48
PEGASUS ESU,42,06:40,07:25,08:39,08:52,09:19,11:03,11:37,13:10,14:52,16:06,17:48,18:51,12:11
27th NORWICH,52,06:50,07:38,08:56,09:13,09:44,11:31,12:03,13:40,15:23,16:32,18:03,19:02,12:12
BELPERITES,91,07:30,08:19,09:39,09:53,10:21,12:15,12:40,14:30,16:16,17:30,19:10,20:08,12:38
SPECIAL PATROL GROUP,51,06:50,07:42,09:04,09:20,09:51,11:55,12:26,14:06,16:02,17:17,18:54,19:48,12:58
