TEAM VASQUE,95,07:34,08:09,08:57,09:09,09:27,10:30,10:47,11:40,12:49,13:29,14:24,14:57,07:23
MACCLEBYTES,77,07:16,07:54,08:43,08:57,09:16,10:21,10:41,11:34,12:37,13:18,14:08,14:40,07:24
ROLLS-ROYCE HARRIERS,73,07:12,07:49,08:40,08:52,09:10,10:15,10:35,11:31,12:35,13:19,14:13,14:50,07:38
THRUST SCOUT FELLOWSHIP 'B',83,07:22,08:04,08:57,09:10,09:30,10:38,10:59,11:55,13:14,14:01,14:57,15:33,08:11
PHOENIX SCOUT FELLOWSHIP,75,07:14,07:53,08:47,09:00,09:19,10:26,10:48,11:51,13:10,13:55,14:53,15:31,08:17
3 BLIND MICE + A FARMER'S WIFE,68,07:06,07:50,08:48,09:02,09:25,10:38,11:01,11:56,13:18,14:02,15:00,15:35,08:29
YOUNG AND OLD,50,06:48,07:25,08:18,08:31,09:55,10:03,10:25,11:25,12:42,13:35,14:40,15:21,08:33
WHITE PEAK,91,07:30,08:08,09:06,09:19,09:38,10:57,11:17,12:20,13:35,14:22,15:23,16:16,08:46
PEGASUS 'D',67,07:06,07:47,08:45,09:00,09:23,10:37,10:58,11:57,13:19,14:07,15:14,15:54,08:48
ASHBOURNE UPPERS & DOWNERS,39,06:38,07:22,08:25,08:41,09:05,10:24,10:46,11:47,13:06,13:56,15:03,15:42,09:04
BLAKEDOWN THREE,70,07:08,07:52,08:51,09:05,09:26,10:43,11:07,12:11,13:34,14:26,15:34,16:15,09:07
PEGASUS 'A',61,07:00,07:40,08:39,08:54,09:12,10:28,10:50,11:56,13:24,14:16,15:23,16:18,09:18
QUEST XXXB,85,07:24,08:11,09:11,09:25,09:47,11:08,11:30,12:35,14:00,14:54,16:04,16:46,09:22
LONG EATON RUNNING CLUB,74,07:12,07:54,08:54,09:09,09:31,10:56,11:17,12:21,13:42,14:37,15:48,16:39,09:27
RUN LIKE A GIRL,76,07:14,07:58,08:59,09:15,09:40,11:03,11:28,12:37,12:58,14:57,16:03,16:42,09:28
LINCOLN BOUNDERS,78,07:16,08:00,09:00,09:14,09:36,10:58,11:20,12:31,14:01,14:58,16:15,17:02,09:46
BERTIE BASSETT'S RUNNING CLUB,79,07:18,08:00,09:06,09:22,09:46,11:32,11:58,13:07,14:34,15:31,16:38,17:24,10:06
BELPERITES 'A',72,07:10,07:54,08:59,09:14,09:38,11:00,11:25,12:42,14:15,15:17,16:33,17:27,10:17
51st OLD BOYS,58,06:56,07:46,08:55,09:12,09:39,11:17,11:46,13:02,14:41,15:37,16:50,17:45,10:49
BELPERITES 'B',71,07:10,07:56,09:00,09:14,09:39,11:15,11:44,13:02,14:48,15:56,17:16,18:00,10:50
ME BETTY AND A BROKEN COMPASS +PABC,66,07:04,07:52,08:59,09:14,09:43,11:22,11:53,13:10,14:51,16:00,17:21,18:06,11:02
2 PINTS AND A BACARDI CHASER,33,06:32,07:20,08:31,08:46,09:10,10:47,11:14,12:45,14:26,15:29,16:47,17:37,11:05
THRUST SCOUT FELLOWSHIP 'A',62,07:00,07:51,09:06,09:26,09:52,11:31,12:02,13:23,15:09,16:09,17:22,18:07,11:07
CONCORD OLD BOYS,16,06:14,07:05,08:19,08:36,09:00,10:38,11:02,12:25,14:26,15:29,16:47,17:37,11:23
PHOENIX XXX,89,07:28,08:22,09:32,09:48,10:14,11:48,12:16,13:41,15:30,16:41,18:04,18:55,11:27
PEDIGREE CHUMS,80,07:18,08:04,09:12,09:35,10:10,11:44,12:12,13:42,15:15,16:31,17:49,18:46,11:28
SALAMIS,93,07:32,08:32,09:42,10:00,10:35,12:14,12:57,14:28,16:10,17:15,18:28,19:23,11:51
HIGH PEAK / YORKS,27,06:26,07:23,08:40,08:58,09:30,11:07,11:37,13:17,15:09,16:12,17:27,18:22,11:56
27th NORWICH,26,06:24,07:20,08:45,09:05,09:34,11:19,11:52,13:21,15:06,16:10,17:31,18:29,12:05
F.O.A.,7,06:06,07:00,08:25,08:47,09:15,11:00,11:31,12:57,14:41,15:45,17:15,18:12,12:06
THE NOTTINGHAM LADS,94,07:32,08:29,09:49,10:09,10:36,12:23,12:55,14:23,16:19,17:23,18:45,19:46,12:14
HINCHLEY WOOD EXPLORERS 'B',55,06:54,07:48,09:02,09:17,09:46,11:29,12:03,13:57,15:45,16:46,18:07,19:16,12:22
HINCHLEY WOOD EXPLORERS 'C',56,06:54,07:48,09:03,09:25,09:58,11:29,12:03,13:32,15:31,16:41,18:07,19:16,12:22
JEREMYFITTERS' CREW,6,06:04,07:00,08:23,08:42,09:15,10:52,11:34,12:54,14:55,16:06,17:23,18:28,12:24
ENDEAVOUR HAS BEENS,92,07:30,08:27,09:48,10:05,10:30,12:25,12:53,14:30,16:22,17:35,19:09,20:10,12:40
43rd CROSLAND MOOR HUDDERSFIELD,45,06:44,07:39,09:02,09:22,09:55,11:52,12:34,13:56,15:50,17:01,18:32,19:29,12:45
TARGET FOURTEEN,14,06:12,07:05,08:32,08:53,09:24,11:07,11:42,13:18,15:20,16:33,18:00,19:03,12:51
HILLSBOROUGH EXPLORER LEADERS,42,06:40,07:34,08:49,09:07,09:37,11:37,12:20,13:55,15:56,17:14,18:43,19:48,13:08
CONCORD REMBERED,20,06:18,07:11,08:29,08:48,09:16,11:26,12:01,13:43,15:20,16:57,18:20,19:28,13:10
NO TEA TILL BUXTON,46,06:44,07:38,08:51,09:08,09:38,11:27,12:15,13:44,15:40,17:08,18:40,19:55,13:11
HORSLEY HEROES,87,07:26,08:24,09:43,10:01,10:37,12:15,12:57,14:25,16:26,17:51,19:21,20:39,13:13
MATTERHORN OLD BOYS,35,06:34,07:35,09:03,09:24,09:56,11:56,12:37,14:20,16:16,17:22,18:55,19:56,13:22
NOBODY INN,81,07:20,08:12,09:26,09:45,10:25,12:16,13:05,14:48,16:42,17:59,19:26,20:43,13:23
