Conehead & The Barbarians,31,06:30,07:00,07:56,08:07,08:25,09:39,09:55,10:51,11:54,12:35,13:27,13:58,07:28
Imperial College Fellwanderers 1,58,06:56,07:37,08:34,08:45,09:10,10:37,11:02,12:00,13:14,14:03,15:02,15:40,08:44
Where's the BBQ?,37,06:36,07:15,08:12,08:24,08:46,10:16,10:35,11:35,12:45,13:34,14:40,15:21,08:45
Endurance ESU,80,07:18,07:58,08:59,09:12,09:36,10:53,11:13,12:20,13:39,14:33,15:38,16:14,08:56
Black Combe Runners,72,07:10,07:54,08:55,09:06,09:32,10:49,11:08,12:09,13:25,14:22,15:26,16:08,08:58
Geric and the Scousers,78,07:16,07:54,09:02,09:16,09:42,11:08,11:33,12:39,13:55,14:44,15:41,16:20,09:04
No imagination,75,07:14,07:55,08:56,09:07,09:32,10:54,11:14,12:20,13:39,14:39,15:48,16:32,09:18
Endurance Danzz,57,06:56,07:40,08:45,08:56,09:22,10:48,11:10,12:22,13:50,14:57,16:13,16:55,09:59
Mr Bean's Boys,14,06:12,06:55,08:00,08:16,08:42,10:23,10:54,12:06,13:35,14:44,15:54,16:36,10:24
The Felltastic 3,82,07:20,08:09,09:25,09:40,10:10,11:47,12:14,13:37,15:05,16:10,17:29,18:22,11:02
Lost Kebabs,81,07:20,08:09,09:25,09:40,10:10,11:48,12:14,13:37,15:05,16:08,17:31,18:23,11:03
Quest XXXB,74,07:12,08:03,09:15,09:25,09:56,11:34,11:56,13:22,14:58,16:04,17:26,18:17,11:05
Three April Fools,30,06:28,07:13,08:24,08:41,09:12,10:52,11:20,12:41,14:10,15:23,16:43,17:34,11:06
Pegasus ESU,21,06:20,07:10,08:28,08:44,09:10,10:52,11:17,12:43,14:15,15:15,16:37,17:27,11:07
Where's Baz,79,07:18,08:04,09:16,09:31,10:01,11:45,12:12,13:53,15:29,16:27,17:43,18:46,11:28
All wind and bra straps.,52,06:50,07:42,09:02,09:18,09:49,11:36,12:02,13:35,15:13,16:22,17:46,18:35,11:45
The have nots,63,07:02,07:55,09:15,09:31,10:07,11:45,12:12,13:42,15:22,16:32,17:50,18:48,11:46
The haves,62,07:00,07:57,09:16,09:30,10:07,11:46,12:12,13:42,15:22,16:32,17:50,18:48,11:48
Huddersfield South West Leaders,66,07:10,08:00,09:15,09:00,09:59,11:49,12:11,13:46,15:22,16:35,18:09,19:09,11:59
Godley B,56,06:54,07:54,09:22,09:39,10:13,12:02,12:33,14:04,15:46,16:51,18:08,18:58,12:04
Philthy Animals,85,07:24,08:13,09:28,09:43,10:17,12:12,12:52,14:25,16:11,17:15,18:34,19:33,12:09
1st Hinchley Wood - 'A',33,06:32,07:25,08:47,09:03,09:40,11:34,12:07,13:40,15:29,16:34,17:51,18:47,12:15
No Tea Till Buxton,71,07:10,08:03,09:24,09:39,10:10,11:48,12:17,13:48,15:30,16:37,18:25,19:27,12:17
The Peak Fliers,42,06:40,07:29,08:49,09:03,09:36,11:18,11:58,13:29,15:11,16:33,18:04,19:00,12:20
Godley A,55,06:54,07:54,09:14,09:31,10:05,12:01,12:33,14:01,15:37,16:46,18:14,19:26,12:32
Andy Carolan is 50,26,06:24,07:19,08:46,09:03,09:33,11:34,12:11,13:44,15:28,16:34,18:04,19:04,12:40
Lincoln Bounders,77,07:16,08:03,09:14,09:28,09:56,11:50,12:32,14:05,16:07,17:27,19:04,20:06,12:50
Belperites,73,07:12,08:05,09:27,09:41,10:13,11:59,12:31,14:05,15:57,17:27,19:04,20:06,12:54
Wander Women,35,06:34,07:34,09:05,09:25,10:02,11:54,12:23,14:04,15:51,17:05,18:36,19:37,13:03
Petes Posse,49,06:48,07:46,09:19,09:40,10:21,12:11,12:55,14:28,16:16,17:45,19:14,20:10,13:22
Half and Half,24,06:22,07:18,08:43,09:00,09:37,11:41,12:15,14:11,16:01,17:25,18:55,19:47,13:25
Stonebanks,6,06:04,07:00,08:30,08:51,09:34,11:29,12:08,13:50,15:48,17:09,18:40,19:37,13:33
Happy Squirrels,2,06:00,06:51,08:14,08:33,09:10,11:21,11:55,13:46,15:40,16:57,18:35,19:41,13:41
27th Norwich,65,07:04,08:00,09:29,09:47,10:20,12:32,13:06,14:51,16:50,18:07,19:45,20:49,13:45
Long Eaton 221,47,06:46,07:39,08:58,09:16,09:53,11:49,12:21,14:11,16:00,17:40,19:21,20:43,13:57
Charnwood Foxes,9,06:08,07:00,08:38,09:01,09:40,11:48,12:26,14:08,16:02,17:51,19:14,20:13,14:05
Northern Star Explorers,27,06:26,07:21,08:50,09:06,09:41,11:41,12:16,14:02,16:00,17:27,19:30,20:48,14:22
1st Hinchley Wood - 'Beaney',32,06:30,07:28,09:00,09:20,09:57,11:52,12:27,14:30,16:31,17:52,19:40,21:00,14:30
The Misfits,67,07:06,08:00,09:35,09:54,10:29,12:41,13:16,15:07,17:20,18:42,20:27,21:36,14:30
Follow the map,8,06:06,07:01,08:35,08:54,09:35,11:39,12:19,15:04,16:15,17:45,19:29,20:42,14:36
TJAC,51,06:50,07:43,09:18,09:37,10:17,12:34,13:10,15:32,17:22,18:32,20:14,21:29,14:39
